COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M35651,ectoine,Xenobiotics,Chemical
M22163,EDTA,Xenobiotics,Chemical
M39831,eicosanodioate,Lipid,"Fatty Acid, Dicarboxylate"
M18467,eicosapentaenoate (EPA; 20:5n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M53258,eicosapentaenoylcholine,Lipid,Phospholipid Metabolism
M33587,eicosenoate (20:1),Lipid,Long Chain Fatty Acid
M33973,epiandrosterone sulfate,Lipid,Steroid
M37459,ergothioneine,Xenobiotics,Food Component/Plant
M01552,erucate (22:1n9),Lipid,Long Chain Fatty Acid
M20699,erythritol,Xenobiotics,Food Component/Plant
M42420,erythronate*,Carbohydrate,Aminosugar Metabolism
M40459,escitalopram,Xenobiotics,Drug
M18474,estrone 3-sulfate,Lipid,Steroid
M48463,ethyl paraben sulfate,Xenobiotics,Chemical
M15765,ethylmalonate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M47112,etiocholanolone glucuronide,Lipid,Steroid
M48715,eugenol sulfate,Xenobiotics,Food Component/Plant
M47114,ferulic acid 4-sulfate,Xenobiotics,Food Component/Plant
M42021,fexofenadine,Xenobiotics,Drug
M44619,fluoxetine,Xenobiotics,Drug
M40456,fluvoxamine,Xenobiotics,Drug
M00577,fructose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
M01643,fumarate,Energy,TCA Cycle
M38686,gabapentin,Xenobiotics,Drug
M27719,galactonate,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
M38754,gamma-carboxyglutamate,Amino Acid,Glutamate Metabolism
M44876,gamma-CEHC,Cofactors and Vitamins,Tocopherol Metabolism
M42381,gamma-CEHC glucuronide*,Cofactors and Vitamins,Tocopherol Metabolism
M37092,gamma-glutamyl-2-aminobutyrate,Peptide,Gamma-glutamyl Amino Acid
M33934,gamma-glutamyl-epsilon-lysine,Peptide,Gamma-glutamyl Amino Acid
M37063,gamma-glutamylalanine,Peptide,Gamma-glutamyl Amino Acid
M36738,gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid
M02730,gamma-glutamylglutamine,Peptide,Gamma-glutamyl Amino Acid
M33949,gamma-glutamylglycine,Peptide,Gamma-glutamyl Amino Acid
M18245,gamma-glutamylhistidine,Peptide,Gamma-glutamyl Amino Acid
M34456,gamma-glutamylisoleucine*,Peptide,Gamma-glutamyl Amino Acid
M18369,gamma-glutamylleucine,Peptide,Gamma-glutamyl Amino Acid
M44872,gamma-glutamylmethionine,Peptide,Gamma-glutamyl Amino Acid
M33422,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid
M33364,gamma-glutamylthreonine*,Peptide,Gamma-glutamyl Amino Acid
M33947,gamma-glutamyltryptophan,Peptide,Gamma-glutamyl Amino Acid
M02734,gamma-glutamyltyrosine,Peptide,Gamma-glutamyl Amino Acid
M43829,gamma-glutamylvaline,Peptide,Gamma-glutamyl Amino Acid
M52473,gamma-tocopherol/beta-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism
M18280,gentisate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M20705,glucoheptose,Xenobiotics,Food Component/Plant
M00587,gluconate,Xenobiotics,Food Component/Plant
M20488,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M15443,glucuronate,Carbohydrate,Aminosugar Metabolism
M00057,glutamate,Amino Acid,Glutamate Metabolism
M33487,"glutamate, gamma-methyl ester",Amino Acid,Glutamate Metabolism
M00053,glutamine,Amino Acid,Glutamate Metabolism
M00396,glutarate (pentanedioate),Amino Acid,Lysine Metabolism
M44664,glutarylcarnitine (C5),Amino Acid,Lysine Metabolism
M38783,"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism
M01572,glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M15122,glycerol,Lipid,Glycerolipid Metabolism
M43847,glycerol 3-phosphate,Lipid,Glycerolipid Metabolism
M37455,glycerophosphoethanolamine,Lipid,Phospholipid Metabolism
M47155,glycerophosphoinositol*,Lipid,Phospholipid Metabolism
M15990,glycerophosphorylcholine (GPC),Lipid,Phospholipid Metabolism
M00058,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M32346,glycochenodeoxycholate,Lipid,Primary Bile Acid Metabolism
M52983,glycochenodeoxycholate glucuronide (1),Lipid,Primary Bile Acid Metabolism
M52974,glycochenodeoxycholate sulfate,Lipid,Primary Bile Acid Metabolism
M18476,glycocholate,Lipid,Primary Bile Acid Metabolism
M32599,glycocholenate sulfate*,Lipid,Secondary Bile Acid Metabolism
M18477,glycodeoxycholate,Lipid,Secondary Bile Acid Metabolism
M52975,glycodeoxycholate sulfate,Lipid,Secondary Bile Acid Metabolism
M42574,glycohyocholate,Lipid,Secondary Bile Acid Metabolism
M31912,glycolithocholate,Lipid,Secondary Bile Acid Metabolism
M32620,glycolithocholate sulfate*,Lipid,Secondary Bile Acid Metabolism
M53013,glycosyl-N-palmitoyl-sphingosine,Lipid,Sphingolipid Metabolism
M52234,glycosyl-N-stearoyl-sphingosine,Lipid,Sphingolipid Metabolism
M39379,glycoursodeoxycholate,Lipid,Secondary Bile Acid Metabolism
M43802,guanidinoacetate,Amino Acid,Creatine Metabolism
M46957,gulonic acid*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
M41754,heme,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M01644,heptanoate (7:0),Lipid,Medium Chain Fatty Acid
M35678,hexadecanedioate,Lipid,"Fatty Acid, Dicarboxylate"
M32328,hexanoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M35436,hexanoylglycine,Lipid,Fatty Acid Metabolism(Acyl Glycine)
M15753,hippurate,Xenobiotics,Benzoate Metabolism
M00059,histidine,Amino Acid,Histidine Metabolism
M22137,homoarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M22138,homocitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M33009,homostachydrine*,Xenobiotics,Food Component/Plant
M01101,homovanillate (HVA),Amino Acid,Phenylalanine and Tyrosine Metabolism
M40473,hydantoin-5-propionic acid,Amino Acid,Histidine Metabolism
M35322,hydroquinone sulfate,Xenobiotics,Drug
M38661,hydroxycotinine,Xenobiotics,Tobacco Metabolite
M34093,hyocholate,Lipid,Secondary Bile Acid Metabolism
M00590,hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M03127,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
M32426,I-urobilinogen,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M17799,ibuprofen,Xenobiotics,Drug
M38366,ibuprofen acyl glucuronide,Xenobiotics,Drug
M15716,imidazole lactate,Amino Acid,Histidine Metabolism
M40730,imidazole propionate,Amino Acid,Histidine Metabolism
M21025,iminodiacetate (IDA),Xenobiotics,Chemical
M38116,indole-3-carboxylic acid,Amino Acid,Tryptophan Metabolism
M27513,indoleacetate,Amino Acid,Tryptophan Metabolism
M42087,indoleacetylglutamine,Amino Acid,Tryptophan Metabolism
M34402,indolebutyrate,Amino Acid,Tryptophan Metabolism
M18349,indolelactate,Amino Acid,Tryptophan Metabolism
M32405,indolepropionate,Amino Acid,Tryptophan Metabolism
M43374,indolin-2-one,Xenobiotics,Food Component/Plant
M01123,inosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
M02133,inosine 5'-monophosphate (IMP),Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
M33441,isobutyrylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M35437,isobutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M12110,isocitrate,Energy,TCA Cycle
M48997,isoeugenol sulfate,Xenobiotics,Food Component/Plant
M01125,isoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M44656,isovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M34407,isovalerylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M35107,isovalerylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M01417,kynurenate,Amino Acid,Tryptophan Metabolism
M15140,kynurenine,Amino Acid,Tryptophan Metabolism
M40173,L-urobilin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M00527,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M53010,lactosyl-N-palmitoyl-sphingosine,Lipid,Sphingolipid Metabolism
M42002,lanthionine,Xenobiotics,Chemical
M01645,laurate (12:0),Lipid,Medium Chain Fatty Acid
M34534,laurylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M00060,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M35661,lidocaine,Xenobiotics,Drug
M01105,linoleate (18:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M34035,linolenate [alpha or gamma; (18:3n3 or 6)],Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M52608,linoleoyl ethanolamide,Lipid,Endocannabinoid
M46223,linoleoylcarnitine*,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M01301,lysine,Amino Acid,Lysine Metabolism
M01303,malate,Energy,TCA Cycle
M20676,maleate,Lipid,"Fatty Acid, Dicarboxylate"
M15872,malonate,Lipid,Fatty Acid Synthesis
M37059,malonylcarnitine,Lipid,Fatty Acid Synthesis
M15586,maltose,Carbohydrate,Glycogen Metabolism
M44688,maltotriose,Carbohydrate,Glycogen Metabolism
M46142,mannitol/sorbitol,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
M48153,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
M01121,margarate (17:0),Lipid,Long Chain Fatty Acid
M38306,metformin,Xenobiotics,Drug
