COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M48425,phenylacetylcarnitine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M52925,phenylacetylglutamate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M35126,phenylacetylglutamine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M00064,phenylalanine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M22130,phenyllactate (PLA),Amino Acid,Phenylalanine and Tyrosine Metabolism
M00566,phenylpyruvate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M42109,phosphate,Energy,Oxidative Phosphorylation
M01600,phosphoethanolamine,Lipid,Phospholipid Metabolism
M00598,phytanate,Xenobiotics,Food Component/Plant
M01512,picolinate,Amino Acid,Tryptophan Metabolism
M15704,pimelate (heptanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M53224,pimeloylcarnitine/3-methyladipoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M33139,pioglitazone,Xenobiotics,Drug
M01444,pipecolate,Amino Acid,Lysine Metabolism
M33935,piperine,Xenobiotics,Food Component/Plant
M32619,pregn steroid monosulfate*,Lipid,Steroid
M40708,pregnanediol-3-glucuronide,Lipid,Steroid
M48394,pregnanolone/allopregnanolone sulfate,Lipid,Steroid
M32562,pregnen-diol disulfate*,Lipid,Steroid
M38170,pregnenolone sulfate,Lipid,Steroid
M35127,pro-hydroxy-pro,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M01898,proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M40703,prolylglycine,Peptide,Dipeptide
M32452,propionylcarnitine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
M31932,propionylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
M48460,propyl 4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism
M39586,pseudoephedrine,Xenobiotics,Drug
M33442,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M01651,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism
M31555,pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism
M46225,pyroglutamine*,Amino Acid,Glutamate Metabolism
M48428,pyrraline,Xenobiotics,Food Component/Plant
M42582,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M39787,quetiapine,Xenobiotics,Drug
M18335,quinate,Xenobiotics,Food Component/Plant
M01899,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M38595,ranitidine,Xenobiotics,Drug
M01806,retinol (Vitamin A),Cofactors and Vitamins,Vitamin A Metabolism
M15772,ribitol,Carbohydrate,Pentose Metabolism
M27731,ribonate,Carbohydrate,Pentose Metabolism
M42370,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism
M42382,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M43239,S-allylcysteine,Xenobiotics,Food Component/Plant
M39592,S-methylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M38127,S-methylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M21151,saccharin,Xenobiotics,Food Component/Plant
M01515,salicylate,Xenobiotics,Drug
M33384,salicyluric glucuronide*,Xenobiotics,Drug
